product_id,product_name,category,subcategory,brand,gender,age_group,size,color,selling_season,supplier,cost_price,selling_price,profit_margin_percent,image_url,status,movement_type
P0001,Hustle Boys Wear Grey,Kids,Boys Wear,Hustle,Kids,Kids,12Y,Grey,All Season,Blue Horizon Apparel,1784.12,2497.77,40,https://coolplanet.lk/images/products/P0001.jpg,Active,Fast Moving
P0002,Modano T-Shirts Khaki,Men,T-Shirts,Modano,Men,Adult,XL,Khaki,Summer,Sunrise Fashion,3366.42,4881.31,45,https://coolplanet.lk/images/products/P0002.jpg,Active,Normal
P0003,Hustle Boys Wear Maroon,Kids,Boys Wear,Hustle,Kids,Kids,4Y,Maroon,All Season,Lanka Textiles,2531.85,3367.36,33,https://coolplanet.lk/images/products/P0003.jpg,Active,Trending
P0004,Modano T-Shirts White,Women,T-Shirts,Modano,Women,Adult,XL,White,Summer,Island Wear Ltd,4810.3,6830.63,42,https://coolplanet.lk/images/products/P0004.jpg,Active,Fast Moving
P0005,Emerald Kids T-Shirts Navy,Kids,Kids T-Shirts,Emerald,Kids,Kids,4Y,Navy,All Season,Kandy Mills,2558.66,3454.19,35,https://coolplanet.lk/images/products/P0005.jpg,Active,Trending
P0006,Hustle Jackets Blue,Women,Jackets,Hustle,Women,Adult,S,Blue,All Season,Sunrise Fashion,3909.52,5121.47,31,https://coolplanet.lk/images/products/P0006.jpg,Active,Normal
P0007,Miss Modano Shorts Blue,Men,Shorts,Miss Modano,Men,Adult,M,Blue,Summer,Kandy Mills,3242.97,4702.3,45,https://coolplanet.lk/images/products/P0007.jpg,Active,Normal
P0008,Emerald Sandals Navy,Footwear,Sandals,Emerald,Kids,Kids,45,Navy,Festive,Sunrise Fashion,3308.29,4598.52,39,https://coolplanet.lk/images/products/P0008.jpg,Active,Normal
P0009,Hustle Girls Wear Green,Kids,Girls Wear,Hustle,Kids,Kids,10Y,Green,Back to School,Island Wear Ltd,2041.91,2715.74,33,https://coolplanet.lk/images/products/P0009.jpg,Active,Normal
P0010,Modano T-Shirts Navy,Men,T-Shirts,Modano,Men,Adult,XS,Navy,Summer,Kandy Mills,2957.05,4376.44,48,https://coolplanet.lk/images/products/P0010.jpg,Active,Normal
P0011,Hustle Skirts Khaki,Women,Skirts,Hustle,Women,Adult,XL,Khaki,Festive,Sunrise Fashion,572.1,772.33,35,https://coolplanet.lk/images/products/P0011.jpg,Active,Trending
P0012,Hustle Sneakers Red,Footwear,Sneakers,Hustle,Kids,Kids,38,Red,Summer,Sunrise Fashion,8779.55,11501.21,31,https://coolplanet.lk/images/products/P0012.jpg,Active,Slow Moving
P0013,Modano Shirts Khaki,Men,Shirts,Modano,Men,Adult,S,Khaki,All Season,Kandy Mills,1170.63,1720.83,47,https://coolplanet.lk/images/products/P0013.jpg,Active,Normal
P0014,Libera Kids Shorts Red,Kids,Kids Shorts,Libera,Kids,Kids,14Y,Red,All Season,Colombo Garments,871.98,1142.3,31,https://coolplanet.lk/images/products/P0014.jpg,Active,Normal
P0015,Modano Trousers Teal,Men,Trousers,Modano,Men,Adult,S,Teal,Winter,Colombo Garments,4364.11,6197.04,42,https://coolplanet.lk/images/products/P0015.jpg,Active,Slow Moving
P0016,Hustle Tops Pink,Women,Tops,Hustle,Women,Adult,XXL,Pink,Winter,Blue Horizon Apparel,2507.27,3460.03,38,https://coolplanet.lk/images/products/P0016.jpg,Active,Normal
P0017,Hustle Shirts Coral,Men,Shirts,Hustle,Men,Adult,XS,Coral,Winter,Fashion Hub PVT,828.89,1135.58,37,https://coolplanet.lk/images/products/P0017.jpg,Active,Normal
P0018,Emerald T-Shirts Olive,Men,T-Shirts,Emerald,Men,Adult,S,Olive,All Season,Island Wear Ltd,1538.79,2185.08,42,https://coolplanet.lk/images/products/P0018.jpg,Active,Normal
P0019,Hustle Trousers Maroon,Men,Trousers,Hustle,Men,Adult,XXL,Maroon,All Season,Sunrise Fashion,3278.77,4524.7,38,https://coolplanet.lk/images/products/P0019.jpg,Active,Fast Moving
P0020,Emerald Dresses Beige,Women,Dresses,Emerald,Women,Adult,L,Beige,All Season,Island Wear Ltd,1297.88,1855.97,43,https://coolplanet.lk/images/products/P0020.jpg,Active,Trending
P0021,Modano Skirts White,Women,Skirts,Modano,Women,Adult,XL,White,Festive,Kandy Mills,4692.88,6804.68,45,https://coolplanet.lk/images/products/P0021.jpg,Active,Normal
P0022,Emerald Girls Wear White,Kids,Girls Wear,Emerald,Kids,Kids,2Y,White,Back to School,Kandy Mills,892.07,1222.13,37,https://coolplanet.lk/images/products/P0022.jpg,Active,Normal
P0023,Emerald Sneakers Green,Footwear,Sneakers,Emerald,Unisex,Adult,39,Green,Back to School,Blue Horizon Apparel,5522.33,7455.15,35,https://coolplanet.lk/images/products/P0023.jpg,Active,Fast Moving
P0024,Libera Trousers White,Men,Trousers,Libera,Men,Adult,XS,White,Festive,Fashion Hub PVT,944.9,1190.57,26,https://coolplanet.lk/images/products/P0024.jpg,Active,Normal
P0025,Miss Modano Jeans Coral,Men,Jeans,Miss Modano,Men,Adult,XL,Coral,All Season,Blue Horizon Apparel,3135.88,4547.03,45,https://coolplanet.lk/images/products/P0025.jpg,Active,Normal
P0026,Hustle Shorts Grey,Men,Shorts,Hustle,Men,Adult,S,Grey,All Season,Kandy Mills,2450.49,3406.18,39,https://coolplanet.lk/images/products/P0026.jpg,Active,Normal
P0027,Emerald Boys Wear Teal,Kids,Boys Wear,Emerald,Kids,Kids,6Y,Teal,All Season,Fashion Hub PVT,2302.87,3293.1,43,https://coolplanet.lk/images/products/P0027.jpg,Active,Normal
P0028,Libera Jackets Charcoal,Men,Jackets,Libera,Men,Adult,XXL,Charcoal,Winter,Blue Horizon Apparel,3463.77,4606.82,33,https://coolplanet.lk/images/products/P0028.jpg,Active,Slow Moving
P0029,King Street Belts Red,Accessories,Belts,King Street,Women,Adult,S,Red,All Season,Sunrise Fashion,2399.01,3142.7,31,https://coolplanet.lk/images/products/P0029.jpg,Active,Slow Moving
P0030,Libera Sneakers Brown,Footwear,Sneakers,Libera,Unisex,Adult,36,Brown,All Season,Lanka Textiles,4511.42,5774.62,28,https://coolplanet.lk/images/products/P0030.jpg,Active,Fast Moving
P0031,Miss Modano Polo Shirts Cream,Men,Polo Shirts,Miss Modano,Men,Adult,L,Cream,Summer,Sunrise Fashion,978.01,1437.68,47,https://coolplanet.lk/images/products/P0031.jpg,Active,Normal
P0032,Emerald Sneakers Maroon,Footwear,Sneakers,Emerald,Women,Adult,40,Maroon,All Season,Kandy Mills,8113.2,11277.35,39,https://coolplanet.lk/images/products/P0032.jpg,Active,Fast Moving
P0033,King Street Sneakers Orange,Footwear,Sneakers,King Street,Men,Adult,42,Orange,Back to School,Colombo Garments,6936.09,9294.36,34,https://coolplanet.lk/images/products/P0033.jpg,Active,Normal
P0034,Modano Sandals Blue,Footwear,Sandals,Modano,Men,Adult,41,Blue,Festive,Sunrise Fashion,4004.61,5646.5,41,https://coolplanet.lk/images/products/P0034.jpg,Active,Normal
P0035,King Street Jackets Purple,Women,Jackets,King Street,Women,Adult,L,Purple,Winter,Island Wear Ltd,1428.69,1957.31,37,https://coolplanet.lk/images/products/P0035.jpg,Active,Slow Moving
P0036,Hustle Belts Beige,Accessories,Belts,Hustle,Men,Adult,M,Beige,Festive,Lanka Textiles,3669.98,4844.38,32,https://coolplanet.lk/images/products/P0036.jpg,Active,Non Moving
P0037,Emerald Sneakers Black,Footwear,Sneakers,Emerald,Kids,Kids,40,Black,All Season,Lanka Textiles,8463.77,11595.37,37,https://coolplanet.lk/images/products/P0037.jpg,Active,Fast Moving
P0038,Libera T-Shirts Charcoal,Women,T-Shirts,Libera,Women,Adult,XS,Charcoal,All Season,Colombo Garments,4974.12,6366.88,28,https://coolplanet.lk/images/products/P0038.jpg,Active,Slow Moving
P0039,Miss Modano Jackets Orange,Men,Jackets,Miss Modano,Men,Adult,XXL,Orange,All Season,Sunrise Fashion,3001.37,4351.99,45,https://coolplanet.lk/images/products/P0039.jpg,Active,Normal
P0040,Hustle T-Shirts Yellow,Women,T-Shirts,Hustle,Women,Adult,M,Yellow,Summer,Sunrise Fashion,1424.32,1908.59,34,https://coolplanet.lk/images/products/P0040.jpg,Active,Normal
P0041,King Street Caps Teal,Accessories,Caps,King Street,Women,Adult,M,Teal,All Season,Blue Horizon Apparel,1669.4,2320.47,39,https://coolplanet.lk/images/products/P0041.jpg,Active,Normal
P0042,Miss Modano Jackets Khaki,Women,Jackets,Miss Modano,Women,Adult,XXL,Khaki,Winter,Lanka Textiles,3416.03,4850.76,42,https://coolplanet.lk/images/products/P0042.jpg,Active,Normal
